name,district,description,facilities
สวนพระนคร,เขตลาดกระบัง,"หรือ ""สวนลาดกระบัง"" มีเอกลักษณ์เป็นสวนไม้ดัดรูปทรงสัตว์นานาชนิด น่าเดินเล่นและออกกำลังกาย","มีห้องน้ำ,มีที่จอดรถ,เส้นทางปั่นจักรยาน"
สวน 60 พรรษา สมเด็จพระบรมราชินีนาถ,เขตลาดกระบัง,สวนสาธารณะในชุมชนใหญ่ ร่มรื่นเย็นสบายด้วยบึงขนาดใหญ่ เหมาะพักผ่อนหรือออกกำลังกายทั้งครอบครัว,"เส้นทางปั่นจักรยาน,มีห้องน้ำ,มีที่จอดรถ"
