name,district,description,facilities
สวนป่าประชานิเวศน์ (หมู่บ้านประชานิเวศน์),เขตจตุจักร,สวนขนาดย่อม 10 ไร่ ร่มรื่นด้วยต้นจามจุรีและไม้ประดับ พื้นที่พักผ่อนและกิจกรรมของคนในหมู่บ้านประชานิเวศน์,"สวนสำหรับสุนัข (Dog park),มีที่จอดรถ"
สวนวชิรเบญจทัศ (สวนรถไฟ),เขตจตุจักร,"หรือ ""สวนรถไฟ"" พื้นที่กว้าง 375 ไร่ ร่มรื่นเย็นสบาย มีกิจกรรมมากมายสำหรับทุกคนในครอบครัว","ปั่นจักรยาน,รองรับสัตว์เลี้ยง,มีห้องน้ำ,มีที่จอดรถ"
สวนจตุจักร,เขตจตุจักร,"สวนสาธารณะขนาดใหญ่แห่งแรกของอุทยานสวนจตุจักร หรือ ""สวนกระรอก"" มีสวนวรรณคดีให้ชมต้นไม้จากวรรณคดีไทย","มีที่จอดรถ,มีห้องน้ำ"
สวนป่าทางต่างระดับรัชดาภิเษก-วิภาวดีรังสิต,เขตจตุจักร,สวนป่าไม้ยืนต้นเพื่อเป็นกำแพงกรองฝุ่นให้ชาวกรุงเทพ ลดอุณหภูมิ พร้อมลานนันทนาการบนพื้นที่บ่อพักน้ำ,"มีห้องน้ำ,มีที่จอดรถ"
สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,เขตจตุจักร,"หนึ่งในสวนพฤกษศาสตร์ที่สมบูรณ์ที่สุดของไทย รวบรวมพรรณไม้กว่า 2,000 ชนิด มีสระน้ำรูปตัว ""ส"" และ ""S"" และลานบัวขนาดใหญ่","มีที่จอดรถ,มีห้องน้ำ"
สวนสมเด็จย่า 84,เขตจตุจักร,สวนหย่อมใจกลางเมืองบริเวณ 5 แยกลาดพร้าว มีหลังคาทางเดินและสกายวอล์กเชื่อมต่อไปยังสวนรถไฟ,
สวนจากภูผาสู่มหานที,เขตจตุจักร,สวนสาธารณะแห่งใหม่ 26 ไร่ ติดกับสวนสมเด็จพระนางเจ้าสิริกิติ์ฯ นำเสนอระบบนิเวศป่าจำลองจากเทือกเขาสู่แม่น้ำ,
