name,district,description,facilities
สวนหลวง ร.๙,เขตประเวศ,สวนสาธารณะและสวนพฤกษศาสตร์ที่ใหญ่ที่สุดในกรุงเทพฯ พื้นที่กว่า 500 ไร่ มีพันธุ์ไม้นานาชนิด สวนนานาชาติ และการอนุรักษ์ระบบนิเวศ,"ปั่นจักรยานได้,มีที่จอดรถ,มีห้องน้ำ"
สวนสาธารณะศูนย์กีฬาบึงหนองบอน,เขตประเวศ,สวนสาธารณะที่ใหญ่ที่สุดของกรุงเทพฯ พื้นที่กว่า 644 ไร่ มีบึงน้ำขนาดใหญ่เป็นแลนด์มาร์กและศูนย์กีฬาทางน้ำ เหมาะทั้งมืออาชีพและมือสมัครเล่น,"ปั่นจักรยาน ระยะทาง 4.2 กม.,พาสัตว์เลี้ยงมาเดินเล่นและออกกำลังกาย (Dog Park),มีห้องน้ำ,มีที่จอดรถ"
สวนวนธรรม,เขตประเวศ,สวนแห่งแรกของกรุงเทพฯ ที่ออกแบบจากหลักคำสอนของพระพุทธเจ้า มีพื้นที่ปฏิบัติธรรมภายใต้ร่มไม้ที่เกี่ยวกับพระพุทธศาสนา,"มีห้องน้ำ,มีที่จอดรถ"
สวน 50 พรรษา มหาจักรีสิรินธร,เขตประเวศ,สวนสาธารณะขนาดย่อมท่ามกลางชุมชน ใกล้มหาวิทยาลัยรามคำแหง 2 รองรับการออกกำลังกายและพักผ่อนของคนโดยรอบ,"มีห้องน้ำ,มีที่จอดรถ"
