name,district,description,facilities
สวนกีฬารามอินทรา,เขตบางเขน,"หรือ ""สวนภูเขา"" มีเส้นทางเดิน-วิ่งบนเนินดินคล้ายภูเขาขนาดเล็ก และลานกีฬามาตรฐานหลายประเภท","ปั่นจักรยาน,มีห้องน้ำ,มีที่จอดรถ"
สวนวัชราภิรมย์,เขตบางเขน,สวนสาธารณะใต้ทางด่วนรามอินทรา แนวคิดสร้างเมืองเป็นมิตรกับสัตว์เลี้ยง เป็น Dog Park แห่งแรกในความรับผิดชอบของกทม.,"ปั่นจักรยาน,สัตว์เลี้ยงเข้าได้,มีที่จอดรถ,มีห้องน้ำ"
