name,district,description,facilities
สวนหลวงพระราม 8,เขตบางพลัด,สวนสาธารณะบรรยากาศดีริมแม่น้ำเจ้าพระยา ร่มรื่นด้วยต้นไม้น้อยใหญ่ เหมาะออกกำลังกายและชมวิว มองเห็นสถานที่สำคัญทางประวัติศาสตร์ของเกาะรัตนโกสินทร์หลายแห่ง,มีห้องน้ำ
สวนจรัญภิรมย์,เขตบางพลัด,สวนขนาดเล็กระดับหมู่บ้าน สำหรับพักผ่อนหย่อนใจ ออกกำลังกาย และเพิ่มพื้นที่สีเขียวให้เขตบางพลัด,มีห้องน้ำ
