name,district,description,facilities
สวนบึงกระเทียม,เขตมีนบุรี,สวนสาธารณะริมบึงขนาด 82 ไร่ ตกแต่งเป็นสวนหย่อมร่มรื่นด้วยไม้ใหญ่ ไม้ดอกและไม้ประดับ,มีห้องน้ำ
สวนพระยาภิรมย์,เขตมีนบุรี,สวนสาธารณะขนาดย่อมล้อมรอบด้วยต้นไม้ใหญ่ สำหรับพักผ่อน ออกกำลังกาย จัดกิจกรรมนันทนาการและเรียนรู้ธรรมชาติ,"มีห้องน้ำ,มีที่จอดรถ"
สวนสิริภิรมย์ (บึงลำไผ่),เขตมีนบุรี,สวนพฤกษศาสตร์ผสมห้องเรียนธรรมชาติ พื้นที่สำหรับเด็กเล็ก พักผ่อนหย่อนใจและออกกำลังกาย (พื้นที่บางส่วนต่อเนื่องถึงเขตคลองสามวา),"เส้นทางจักรยาน ระยะทาง 1,130 เมตร,มีห้องน้ำ,มีที่จอดรถ"
