name,district,description,facilities
สนามหลวง,เขตพระนคร,อดีตทุ่งพระเมรุ ลานเล่นว่าว สนามกอล์ฟ ตลาดนัด ปัจจุบันเป็นพื้นที่สัญลักษณ์และกิจกรรมพิธีสำคัญ โบราณสถานเชิงประวัติศาสตร์และวัฒนธรรม,"ปั่นจักรยาน,มีที่จอดรถ,มีห้องน้ำ"
สวนรมณีนาถ,เขตพระนคร,"จากเรือนจำอายุกว่า 100 ปี (""คุกเก่า"") ดัดแปลงเป็นสวนสาธารณะและสวนสุขภาพใจกลางเมือง เป็นโบราณสถานในที่เดียวกัน","มีห้องน้ำ,มีที่จอดรถ"
สวนสราญรมย์,เขตพระนคร,หรือพระราชอุทยานสราญรมย์ สวนสาธารณะประวัติศาสตร์นับศตวรรษ อดีตที่ประทับของพระบรมวงศานุวงศ์ ปัจจุบันเป็นสถานที่ออกกำลังกายยอดนิยม,มีห้องน้ำ
สวนป้อมมหากาฬ,เขตพระนคร,พื้นที่ทางประวัติศาสตร์ ชุมชนชานกำแพงพระนครแห่งเดียวที่เหลืออยู่ในเกาะรัตนโกสินทร์ ปรับปรุงเป็นสวนสาธารณะและแหล่งเรียนรู้ประวัติศาสตร์,"มีห้องน้ำ,มีที่จอดรถ"
ลานคนเมือง ศาลาว่าการกรุงเทพมหานคร,เขตพระนคร,พื้นที่สำหรับประชาชนออกกำลังกาย พักผ่อนยามเย็น ชมพระอาทิตย์ตกและจัดกิจกรรม คู่กับศาลาว่าการกรุงเทพมหานคร,มีห้องน้ำ
สวนลอยฟ้าเจ้าพระยา,เขตพระนคร,สวนลอยฟ้าข้ามแม่น้ำแห่งแรกของไทยและของโลก บนเกาะกลางสะพานพระปกเกล้า (สะพานด้วน) เชื่อมฝั่งธนบุรีและกรุงเทพฯ,"ปั่นจักรยาน ระยะทาง 280 เมตร,มีลิฟต์สำหรับผู้พิการ"
